SaveData[612], 0x039B,
SaveData[613], 0x038D,
SaveData[614], 0x0395,
SaveData[615], 0x038F,
SaveData[616], 0x0387,
SaveData[617], 0x0393,
SaveData[618], 0x0381,
SaveData[619], 0x0393,
SaveData[620], 0x0389,
SaveData[621], 0x039F,
SaveData[622], 0x0389,
SaveData[623], 0x03A7,
SaveData[624], 0x0390,
SaveData[625], 0x03AB,
SaveData[626], 0x0379,
SaveData[627], 0x03A9,
SaveData[628], 0x038D,
SaveData[629], 0x03A9,
SaveData[630], 0x0395,
SaveData[631], 0x03A6,
SaveData[632], 0x0391,
SaveData[633], 0x0395,
SaveData[634], 0x038D,
SaveData[635], 0x0394,
SaveData[636], 0x038F,
SaveData[637], 0x038B,
SaveData[638], 0x0397,
SaveData[639], 0x0369,
SaveData[640], 0x0397,
SaveData[641], 0x037F,
SaveData[642], 0x039F,
SaveData[643], 0x0389,
SaveData[644], 0x03A9,
SaveData[645], 0x0391,
SaveData[646], 0x03A9,
SaveData[647], 0x0385,
SaveData[648], 0x03AB,
SaveData[649], 0x0399,
SaveData[650], 0x03A9,
SaveData[651], 0x0399,
SaveData[652], 0x03A1,
SaveData[653], 0x0393,
SaveData[654], 0x0395,
SaveData[655], 0x0391,
SaveData[656], 0x038F,
SaveData[657], 0x0391,
SaveData[658], 0x038A,
SaveData[659], 0x0395,
SaveData[660], 0x038B,
SaveData[661], 0x0399,
SaveData[662], 0x036D,
SaveData[663], 0x03A3,
SaveData[664], 0x0389,
SaveData[665], 0x03A7,
SaveData[666], 0x0388,
SaveData[667], 0x03A9,
SaveData[668], 0x0393,
SaveData[669], 0x03A9,
SaveData[670], 0x0396,
SaveData[671], 0x03A1,
SaveData[672], 0x039B,
SaveData[673], 0x03A0,
SaveData[674], 0x0391,
SaveData[675], 0x0393,
SaveData[676], 0x0391,
SaveData[677], 0x0390,
SaveData[678], 0x0391,
SaveData[679], 0x0385,
SaveData[680], 0x039A,
SaveData[681], 0x037D,
SaveData[682], 0x039D,
SaveData[683], 0x038F,
SaveData[684], 0x03A5,
