SaveData[846], 0x0C5A,
SaveData[847], 0x0C57,
SaveData[848], 0x0C56,
SaveData[849], 0x0C58,
SaveData[850], 0x0C59,
SaveData[851], 0x0C5A,
SaveData[852], 0x0C57,
SaveData[853], 0x0C59,
SaveData[854], 0x0C58,
SaveData[855], 0x0C57,
SaveData[856], 0x0C58,
SaveData[857], 0x0C58,
SaveData[858], 0x0C58,
SaveData[859], 0x0C5A,
SaveData[860], 0x0C56,
SaveData[861], 0x0C58,
SaveData[862], 0x0C5A,
SaveData[863], 0x0C58,
SaveData[864], 0x0C5A,
SaveData[865], 0x0C59,
SaveData[866], 0x0C58,
SaveData[867], 0x0C5A,
SaveData[868], 0x0C57,
SaveData[869], 0x0C55,
SaveData[870], 0x0C57,
SaveData[871], 0x0C59,
SaveData[872], 0x0C59,
SaveData[873], 0x0C57,
SaveData[874], 0x0C5A,
SaveData[875], 0x0C59,
SaveData[876], 0x0C57,
SaveData[877], 0x0C58,
SaveData[878], 0x0C59,
SaveData[879], 0x0C58,
SaveData[880], 0x0C55,
SaveData[881], 0x0C58,
SaveData[882], 0x0C58,
SaveData[883], 0x0C5A,
SaveData[884], 0x0C56,
SaveData[885], 0x0C59,
SaveData[886], 0x0C59,
SaveData[887], 0x0C57,
SaveData[888], 0x0C59,
SaveData[889], 0x0C58,
SaveData[890], 0x0C59,
SaveData[891], 0x0C5A,
SaveData[892], 0x0C57,
SaveData[893], 0x0C58,
SaveData[894], 0x0C59,
SaveData[895], 0x0C58,
SaveData[896], 0x0C58,
SaveData[897], 0x0C57,
SaveData[898], 0x0C5B,
SaveData[899], 0x0C5B,
SaveData[900], 0x0C57,
SaveData[901], 0x0C59,
SaveData[902], 0x0C58,
SaveData[903], 0x0C59,
SaveData[904], 0x0C59,
SaveData[905], 0x0C57,
SaveData[906], 0x0C57,
SaveData[907], 0x0C5A,
SaveData[908], 0x0C58,
SaveData[909], 0x0C58,
SaveData[910], 0x0C59,
SaveData[911], 0x0C59,
SaveData[912], 0x0C59,
SaveData[913], 0x0C57,
SaveData[914], 0x0C59,
SaveData[915], 0x0C58,
SaveData[916], 0x0C57,
SaveData[917], 0x0C5A,
SaveData[918], 0x0C59,
SaveData[919], 0x0C59,
