SaveData[816], 0x0C7D,
SaveData[817], 0x0C82,
SaveData[818], 0x0C79,
SaveData[819], 0x0C7F,
SaveData[820], 0x0C7B,
SaveData[821], 0x0C7D,
SaveData[822], 0x0C7E,
SaveData[823], 0x0C7C,
SaveData[824], 0x0C7C,
SaveData[825], 0x0C7F,
SaveData[826], 0x0C7B,
SaveData[827], 0x0C7E,
SaveData[828], 0x0C7E,
SaveData[829], 0x0C7D,
SaveData[830], 0x0C7F,
SaveData[831], 0x0C7D,
SaveData[832], 0x0C7C,
SaveData[833], 0x0C7E,
SaveData[834], 0x0C7C,
SaveData[835], 0x0C7E,
SaveData[836], 0x0C7C,
SaveData[837], 0x0C7D,
SaveData[838], 0x0C7C,
SaveData[839], 0x0C7D,
SaveData[840], 0x0C7A,
SaveData[841], 0x0C7E,
SaveData[842], 0x0C7B,
SaveData[843], 0x0C7F,
SaveData[844], 0x0C7C,
SaveData[845], 0x0C7E,
SaveData[846], 0x0C7F,
SaveData[847], 0x0C7D,
SaveData[848], 0x0C7C,
SaveData[849], 0x0C7E,
SaveData[850], 0x0C7B,
SaveData[851], 0x0C7F,
SaveData[852], 0x0C7C,
SaveData[853], 0x0C7E,
SaveData[854], 0x0C7E,
SaveData[855], 0x0C7C,
SaveData[856], 0x0C7D,
SaveData[857], 0x0C80,
SaveData[858], 0x0C7B,
SaveData[859], 0x0C80,
SaveData[860], 0x0C7B,
SaveData[861], 0x0C7E,
SaveData[862], 0x0C7F,
SaveData[863], 0x0C7C,
SaveData[864], 0x0C7C,
SaveData[865], 0x0C7E,
SaveData[866], 0x0C7D,
SaveData[867], 0x0C7F,
SaveData[868], 0x0C7B,
SaveData[869], 0x0C7F,
SaveData[870], 0x0C7D,
SaveData[871], 0x0C7D,
SaveData[872], 0x0C7C,
SaveData[873], 0x0C7F,
SaveData[874], 0x0C7B,
SaveData[875], 0x0C7F,
SaveData[876], 0x0C7B,
SaveData[877], 0x0C7F,
SaveData[878], 0x0C7E,
